FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
624680,fontana,Fontana,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
624680,fontana,Fontana,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
626000,fremont,Fremont,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
627000,fresno,Fresno,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
629000,garden grove,Garden Grove,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
628168,gardena,Gardena,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
629504,gilroy,Gilroy,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
632548,hawthorne,Hawthorne,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
633000,hayward,Hayward,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
636546,inglewood,Inglewood,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
636770,irvine,Irvine,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
