FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
4853388,odessa,Odessa,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4853388,odessa,Odessa,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4856000,pasadena,Pasadena,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4856348,pearland,Pearland,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4857200,pharr,Pharr,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4858016,plano,Plano,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4861796,richardson,Richardson,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4863500,round rock,Round Rock,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4864472,san angelo,San Angelo,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2017,123520000.0,37,986260000.0,112,0.0,0.0,394030000.0,26.0,123520000.0,37.0,986260000.0,112.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2018,702955000.0,150,1689215000.0,262,0.0,0.0,394030000.0,26.0,702955000.0,150.0,1689215000.0,262.0,0.0,0.0,394030000.0,26.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2019,967820000.0,388,2657035000.0,650,835825000.0,36.0,1229855000.0,62.0,967820000.0,388.0,2657035000.0,650.0,835825000.0,36.0,1229855000.0,62.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2020,839555000.0,369,3496590000.0,1019,697315000.0,36.0,1927170000.0,98.0,839555000.0,369.0,3496590000.0,1019.0,697315000.0,36.0,1927170000.0,98.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2021,265065000.0,406,3761655000.0,1425,120000000.0,4.0,2047170000.0,102.0,265065000.0,406.0,3761655000.0,1425.0,120000000.0,4.0,2047170000.0,102.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2022,1459120000.0,253,5220775000.0,1678,1196400000.0,53.0,3243570000.0,155.0,1459120000.0,253.0,5220775000.0,1678.0,1196400000.0,53.0,3243570000.0,155.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2023,1509515000.0,200,6730290000.0,1878,1355100000.0,140.0,4598670000.0,295.0,1509515000.0,200.0,6730290000.0,1878.0,1355100000.0,140.0,4598670000.0,295.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2024,1612865000.0,68,8343155000.0,1946,1568260000.0,57.0,6166930000.0,352.0,1612865000.0,68.0,8343155000.0,1946.0,1568260000.0,57.0,6166930000.0,352.0,0.0,0.0,0.0,0.0
4865000,san antonio,San Antonio,TX,2025,281940000.0,22,8625095000.0,1968,183810000.0,21.0,6350740000.0,373.0,281940000.0,22.0,8625095000.0,1968.0,183810000.0,21.0,6350740000.0,373.0,0.0,0.0,0.0,0.0
4872176,temple,Temple,TX,2013,187990000.0,22,187990000.0,22,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4872176,temple,Temple,TX,2014,60100000.0,5,248090000.0,27,0.0,0.0,187990000.0,22.0,60100000.0,5.0,248090000.0,27.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4872176,temple,Temple,TX,2015,397000000.0,29,645090000.0,56,0.0,0.0,187990000.0,22.0,397000000.0,29.0,645090000.0,56.0,0.0,0.0,187990000.0,22.0,0.0,0.0,0.0,0.0
4872176,temple,Temple,TX,2016,217650000.0,19,862740000.0,75,206040000.0,4.0,394030000.0,26.0,217650000.0,19.0,862740000.0,75.0,206040000.0,4.0,394030000.0,26.0,0.0,0.0,0.0,0.0
